attack_type,max_iter,learning_rate,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,clean_confidence,adv_confidence
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.010006,0.004934,7185,2967,0.9270366430282593,0.020303860306739807
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.005,0.002932,7185,1168,0.10684465616941452,0.00044774136040359735
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.005,0.003792,7185,7483,0.8398345112800598,0.17949523031711578
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.010006,0.006081,7185,7711,0.8949446678161621,0.01908716931939125
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.005,0.004051,7185,4277,0.7210209965705872,0.00853515975177288
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.005,0.003689,7185,639,0.3279585540294647,0.005036211106926203
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.010006,0.005892,7185,6688,0.8448785543441772,0.08177459985017776
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.005,0.003348,7185,7475,0.09421313554048538,0.0012879417045041919
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.005,0.0032,7185,4236,0.25134924054145813,0.0014143333537504077
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.005,0.003098,7185,4540,0.605103611946106,0.07918205857276917
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0000.tiff,0.010006,0.006135,2585,375,0.7833666205406189,0.025841407477855682
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0001.tiff,0.005,0.003443,2585,4240,0.2810582220554352,0.003375905565917492
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0002.tiff,0.005,0.002994,2585,5566,0.8379302024841309,0.2877526879310608
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0003.tiff,0.005,0.004002,2585,4240,0.8819334506988525,0.248554527759552
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0004.tiff,0.005,0.003823,2585,2349,0.7789227962493896,0.029166823253035545
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0005.tiff,0.005,0.003807,2585,3525,0.34872350096702576,0.005307102110236883
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0006.tiff,0.005,0.003503,2585,375,0.6670568585395813,0.11527044326066971
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0008.tiff,0.005,0.003858,2585,5569,0.7909650802612305,0.13820815086364746
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.tiff,dataset/attacks/error_generic/cw/001_n002771_Felix_Neureuther/0009.tiff,0.005,0.003796,2585,2349,0.7866768836975098,0.04727257415652275
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0000.tiff,0.005,0.004093,5658,4956,0.9380198121070862,0.18369217216968536
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0001.tiff,0.005,0.003624,5658,3994,0.28069356083869934,0.004846038296818733
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0002.tiff,0.005,0.003731,5658,1675,0.5266938805580139,0.11001373827457428
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0004.tiff,0.005,0.003481,5658,8173,0.6982830166816711,0.054148200899362564
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0005.tiff,0.005,0.003634,5658,1005,0.06801150739192963,0.00013427325757220387
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0006.tiff,0.005,0.004004,5658,7440,0.8948723673820496,0.06816567480564117
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0007.tiff,0.005,0.00386,5658,5718,0.22349286079406738,0.0001616696099517867
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0008.tiff,0.010006,0.006656,5658,1655,0.9196596145629883,0.018834803253412247
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0009.tiff,dataset/attacks/error_generic/cw/002_n006115_Mike_Posner/0009.tiff,0.005,0.004408,5658,7165,0.9215393662452698,0.02550753951072693
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0000.tiff,dataset/attacks/error_generic/cw/003_n006980_Philip_Michael_Thomas/0000.tiff,0.005,0.003536,6487,1201,0.5960360169410706,0.14653660356998444
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0001.tiff,dataset/attacks/error_generic/cw/003_n006980_Philip_Michael_Thomas/0001.tiff,0.005,0.0029,6487,5239,0.5485501885414124,0.038020383566617966
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0002.tiff,dataset/attacks/error_generic/cw/003_n006980_Philip_Michael_Thomas/0002.tiff,0.005,0.003168,6487,1914,0.15844133496284485,0.0018200015183538198
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0003.tiff,dataset/attacks/error_generic/cw/003_n006980_Philip_Michael_Thomas/0003.tiff,0.010006,0.006315,6487,7973,0.8788562417030334,0.14864790439605713
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0004.tiff,dataset/attacks/error_generic/cw/003_n006980_Philip_Michael_Thomas/0004.tiff,0.010006,0.006553,6487,5239,0.8291451334953308,0.04097514972090721
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0005.tiff,dataset/attacks/error_generic/cw/003_n006980_Philip_Michael_Thomas/0005.tiff,0.005,0.004195,6487,7973,0.624751091003418,0.06847034394741058
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0007.tiff,dataset/attacks/error_generic/cw/003_n006980_Philip_Michael_Thomas/0007.tiff,0.005,0.003468,6487,5239,0.6243804097175598,0.00703063327819109
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0009.tiff,dataset/attacks/error_generic/cw/003_n006980_Philip_Michael_Thomas/0009.tiff,0.010006,0.006813,6487,1201,0.7390111088752747,0.09090402722358704
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0000.tiff,0.005,0.003744,2148,2391,0.9095704555511475,0.28700995445251465
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0001.tiff,0.005,0.003983,2148,4102,0.8657095432281494,0.1913437843322754
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0002.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0002.tiff,0.010006,0.005984,2148,8242,0.8623234033584595,0.23988878726959229
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0003.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0003.tiff,0.005,0.003667,2148,2338,0.8542329668998718,0.008644131012260914
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0004.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0004.tiff,0.010006,0.006193,2148,2995,0.882867693901062,0.12551312148571014
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0005.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0005.tiff,0.005,0.003502,2148,5455,0.7342042326927185,0.04867379739880562
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0006.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0006.tiff,0.015022,0.007158,2148,8242,0.935070276260376,0.21410532295703888
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0007.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0007.tiff,0.010006,0.006091,2148,4256,0.9129842519760132,0.11568433791399002
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0008.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0008.tiff,0.010006,0.006291,2148,7972,0.8679600358009338,0.22674685716629028
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0009.tiff,dataset/attacks/error_generic/cw/004_n002295_Drake/0009.tiff,0.015022,0.00745,2148,8242,0.8660703897476196,0.08327627182006836
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0000.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0000.tiff,0.005,0.003749,1503,823,0.510956346988678,0.09049846231937408
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0001.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0001.tiff,0.005,0.003614,1503,2779,0.7130699753761292,0.1529809832572937
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0002.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0002.tiff,0.005,0.004122,1503,3392,0.7490196824073792,0.024296609684824944
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0003.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0003.tiff,0.005,0.003452,1503,6017,0.44295474886894226,0.06270229816436768
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0004.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0004.tiff,0.005,0.00385,1503,5078,0.654345691204071,0.2309628129005432
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0005.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0005.tiff,0.005,0.004089,1503,5078,0.6064528226852417,0.11025642603635788
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0006.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0006.tiff,0.005,0.004164,1503,3392,0.711943507194519,0.09417761862277985
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0007.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0007.tiff,0.005,0.004356,1503,5078,0.8442294001579285,0.2984950840473175
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0008.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0008.tiff,0.005,0.003234,1503,513,0.4409632086753845,0.04528079554438591
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0009.tiff,dataset/attacks/error_generic/cw/005_n001597_Chris_Duhon/0009.tiff,0.005,0.00392,1503,3392,0.1906789243221283,0.0011556751560419798
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0000.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0000.tiff,0.005,0.00376,3281,2534,0.45227745175361633,0.0031889870297163725
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0001.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0001.tiff,0.010006,0.006215,3281,1928,0.8973231315612793,0.17444008588790894
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0002.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0002.tiff,0.005,0.00401,3281,1928,0.9252601861953735,0.2789901793003082
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0003.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0003.tiff,0.005,0.004143,3281,1928,0.7638415694236755,0.1175428256392479
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0004.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0004.tiff,0.005,0.00357,3281,6877,0.23385614156723022,0.0005499759572558105
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0005.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0005.tiff,0.005,0.003142,3281,5123,0.5968762636184692,0.07336504012346268
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0006.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0006.tiff,0.005,0.004336,3281,1928,0.6408045291900635,0.011845347471535206
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0007.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0007.tiff,0.005,0.002928,3281,8242,0.08689849078655243,0.0025237547233700752
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0008.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0008.tiff,0.005,0.003692,3281,2914,0.8607676029205322,0.11787769943475723
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0009.tiff,dataset/attacks/error_generic/cw/006_n003512_H_ctor_Mancilla/0009.tiff,0.005,0.003799,3281,1928,0.8642446994781494,0.2786169648170471
