dataset_label,identity_name,target_class,clean_pred_class,target_confidence,source_image_path,adversarial_image_path
0,"""Samantha_Ruth_Prabhu""",361,7185,1.3274020602693781e-05,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0000.jpg
0,"""Samantha_Ruth_Prabhu""",4952,7185,2.4144970666384324e-05,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0003.jpg
0,"""Samantha_Ruth_Prabhu""",6288,7185,8.028760021261405e-07,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0006.jpg
1,"""Felix_Neureuther""",8034,2585,5.4404376896854956e-06,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/001_n002771_Felix_Neureuther/0000.jpg
1,"""Felix_Neureuther""",8034,2585,2.190250961575657e-05,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/001_n002771_Felix_Neureuther/0002.jpg
1,"""Felix_Neureuther""",7728,2585,1.5132775843085255e-05,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/001_n002771_Felix_Neureuther/0003.jpg
2,"""Mike_Posner""",6773,5658,6.194382422108902e-06,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/002_n006115_Mike_Posner/0002.jpg
2,"""Mike_Posner""",6656,5658,4.462294327822747e-06,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/002_n006115_Mike_Posner/0006.jpg
2,"""Mike_Posner""",7661,5658,3.9224167267093435e-05,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/002_n006115_Mike_Posner/0008.jpg
3,"""Philip_Michael_Thomas""",1377,6487,6.197097377480532e-07,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/003_n006980_Philip_Michael_Thomas/0003.jpg
3,"""Philip_Michael_Thomas""",1377,6487,2.8590097826963756e-06,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0004.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/003_n006980_Philip_Michael_Thomas/0004.jpg
3,"""Philip_Michael_Thomas""",4644,6487,5.091567800263874e-06,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0009.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/003_n006980_Philip_Michael_Thomas/0009.jpg
4,"""Drake""",7258,2148,1.0321977242711e-05,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/004_n002295_Drake/0000.jpg
4,"""Drake""",8022,2148,7.99035774434742e-07,dataset/clean_cropped/NN1/004_n002295_Drake/0002.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/004_n002295_Drake/0002.jpg
4,"""Drake""",8022,2148,9.753191989148036e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0004.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/004_n002295_Drake/0004.jpg
4,"""Drake""",917,2148,5.034869445807999e-07,dataset/clean_cropped/NN1/004_n002295_Drake/0006.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/004_n002295_Drake/0006.jpg
4,"""Drake""",8022,2148,1.8386521105639986e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0007.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/004_n002295_Drake/0007.jpg
4,"""Drake""",8022,2148,1.435501872038003e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0008.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/004_n002295_Drake/0008.jpg
4,"""Drake""",830,2148,1.1821936141132028e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0009.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/004_n002295_Drake/0009.jpg
5,"""Chris_Duhon""",8515,1503,1.945554686244577e-06,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0000.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/005_n001597_Chris_Duhon/0000.jpg
5,"""Chris_Duhon""",2956,1503,1.5300979612220544e-06,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/005_n001597_Chris_Duhon/0003.jpg
5,"""Chris_Duhon""",4497,1503,3.139875275337545e-07,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0004.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/005_n001597_Chris_Duhon/0004.jpg
5,"""Chris_Duhon""",2563,1503,4.5270353439264e-06,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0005.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/005_n001597_Chris_Duhon/0005.jpg
6,"""Héctor_Mancilla""",7643,3281,1.064025923369627e-06,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0001.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/006_n003512_H_ctor_Mancilla/0001.jpg
6,"""Héctor_Mancilla""",6191,3281,8.073012577369809e-05,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0002.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/006_n003512_H_ctor_Mancilla/0002.jpg
7,"""Meera_Jasmine""",1333,5460,5.721112188439292e-07,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0000.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/007_n005908_Meera_Jasmine/0000.jpg
7,"""Meera_Jasmine""",2429,5460,8.157680895237718e-06,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0009.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/007_n005908_Meera_Jasmine/0009.jpg
9,"""Sergio_van_Dijk""",5095,7379,3.4239610613440163e-06,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0001.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/009_n007934_Sergio_van_Dijk/0001.jpg
9,"""Sergio_van_Dijk""",1045,7379,3.1009533358883345e-06,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/009_n007934_Sergio_van_Dijk/0003.jpg
9,"""Sergio_van_Dijk""",5901,7379,1.208423691423377e-05,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0005.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/009_n007934_Sergio_van_Dijk/0005.jpg
9,"""Sergio_van_Dijk""",6456,7379,1.5603434349031886e-06,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0006.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/009_n007934_Sergio_van_Dijk/0006.jpg
9,"""Sergio_van_Dijk""",4914,7379,4.141437239013612e-05,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0007.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/009_n007934_Sergio_van_Dijk/0007.jpg
9,"""Sergio_van_Dijk""",5466,7379,3.6635363358072937e-05,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0009.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/009_n007934_Sergio_van_Dijk/0009.jpg
10,"""Adrianne_León""",3744,86,6.532597762998194e-05,dataset/clean_cropped/NN1/010_n000093_Adrianne_Le_n/0006.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/010_n000093_Adrianne_Le_n/0006.jpg
11,"""Bas_Dost""",3834,870,3.029600156878587e-05,dataset/clean_cropped/NN1/011_n000917_Bas_Dost/0001.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/011_n000917_Bas_Dost/0001.jpg
11,"""Bas_Dost""",3665,870,8.471848559565842e-06,dataset/clean_cropped/NN1/011_n000917_Bas_Dost/0007.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/011_n000917_Bas_Dost/0007.jpg
11,"""Bas_Dost""",1407,870,2.320135899935849e-05,dataset/clean_cropped/NN1/011_n000917_Bas_Dost/0009.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/011_n000917_Bas_Dost/0009.jpg
12,"""Brandon_Roy""",1740,1109,1.6394234990002587e-05,dataset/clean_cropped/NN1/012_n001173_Brandon_Roy/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/012_n001173_Brandon_Roy/0003.jpg
12,"""Brandon_Roy""",2792,1109,2.3027812403597636e-06,dataset/clean_cropped/NN1/012_n001173_Brandon_Roy/0009.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/012_n001173_Brandon_Roy/0009.jpg
13,"""Sean_Avery""",45,7296,7.818577614671085e-06,dataset/clean_cropped/NN1/013_n007841_Sean_Avery/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/013_n007841_Sean_Avery/0003.jpg
13,"""Sean_Avery""",6158,7296,2.8964317607460544e-05,dataset/clean_cropped/NN1/013_n007841_Sean_Avery/0007.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/013_n007841_Sean_Avery/0007.jpg
14,"""Joanne_Peh""",8301,3874,0.0001464101078454405,dataset/clean_cropped/NN1/014_n004143_Joanne_Peh/0007.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/014_n004143_Joanne_Peh/0007.jpg
15,"""Hervé_Mariton""",4048,3217,2.076941200357396e-05,dataset/clean_cropped/NN1/015_n003444_Herv__Mariton/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/015_n003444_Herv__Mariton/0003.jpg
16,"""Simon_Rattle""",2011,7514,4.090221864316845e-06,dataset/clean_cropped/NN1/016_n008084_Simon_Rattle/0000.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/016_n008084_Simon_Rattle/0000.jpg
16,"""Simon_Rattle""",1116,7514,2.141096274499432e-06,dataset/clean_cropped/NN1/016_n008084_Simon_Rattle/0002.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/016_n008084_Simon_Rattle/0002.jpg
