attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,target_confidence
bim,0.025,True,least-likely,361,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.015459,7185,361,0.6560796499252319
bim,0.025,True,least-likely,4660,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.014419,7185,4660,0.9964285492897034
bim,0.025,True,least-likely,4876,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.014482,7185,4876,0.28223201632499695
bim,0.025,True,least-likely,4952,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.015737,7185,4952,0.8069145083427429
bim,0.025,True,least-likely,4669,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.013747,7185,4669,0.9990684390068054
bim,0.025,True,least-likely,8495,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.015265,7185,8495,0.6375815272331238
bim,0.025,True,least-likely,6288,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.017006,7185,4356,0.06701110303401947
bim,0.025,True,least-likely,5216,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.014251,7185,5216,0.9974888563156128
bim,0.025,True,least-likely,6536,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.013988,7185,6536,0.9939016103744507
bim,0.025,True,least-likely,7422,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.015785,7185,7422,0.9959211349487305
bim,0.025,True,least-likely,8034,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0000.tiff,0.025,0.017053,2585,8034,0.7390289306640625
bim,0.025,True,least-likely,5020,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0001.tiff,0.025,0.014835,2585,5020,0.938086211681366
bim,0.025,True,least-likely,8034,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0002.tiff,0.025,0.016328,2585,8034,0.8165408968925476
bim,0.025,True,least-likely,7728,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0003.tiff,0.025,0.016588,2585,7728,0.5997900366783142
bim,0.025,True,least-likely,2900,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0004.tiff,0.025,0.014729,2585,2900,0.9940983057022095
bim,0.025,True,least-likely,7562,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0005.tiff,0.025,0.015317,2585,7562,0.9621395468711853
bim,0.025,True,least-likely,3347,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0006.tiff,0.025,0.016364,2585,3347,0.5604659914970398
bim,0.025,True,least-likely,2319,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0008.tiff,0.025,0.016094,2585,2319,0.9058011174201965
bim,0.025,True,least-likely,3481,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/001_n002771_Felix_Neureuther/0009.tiff,0.025,0.015795,2585,3481,0.7353407144546509
bim,0.025,True,least-likely,6720,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/002_n006115_Mike_Posner/0000.tiff,0.025,0.014961,5658,6720,0.658843457698822
bim,0.025,True,least-likely,4438,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/002_n006115_Mike_Posner/0001.tiff,0.025,0.01596,5658,4438,0.5463051795959473
