dataset_label,identity_name,target_class,clean_pred_class,target_confidence,source_image_path,adversarial_image_path
0,"""Samantha_Ruth_Prabhu""",6288,7185,8.689793276062119e-07,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.jpg
2,"""Mike_Posner""",6620,5658,6.417159966076724e-06,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0009.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/002_n006115_Mike_Posner/0009.jpg
3,"""Philip_Michael_Thomas""",1377,6487,9.933301043929532e-07,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0003.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/003_n006980_Philip_Michael_Thomas/0003.jpg
3,"""Philip_Michael_Thomas""",1377,6487,3.1106412734516198e-06,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/003_n006980_Philip_Michael_Thomas/0004.jpg
4,"""Drake""",7258,2148,3.1272636533685727e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/004_n002295_Drake/0000.jpg
4,"""Drake""",8022,2148,5.920285843785678e-07,dataset/clean_cropped/NN1/004_n002295_Drake/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/004_n002295_Drake/0002.jpg
4,"""Drake""",8022,2148,7.893986548879184e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/004_n002295_Drake/0004.jpg
4,"""Drake""",917,2148,1.479766751799616e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/004_n002295_Drake/0006.jpg
4,"""Drake""",8022,2148,2.0757672700710827e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/004_n002295_Drake/0007.jpg
4,"""Drake""",8022,2148,1.238488493982004e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0008.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/004_n002295_Drake/0008.jpg
