attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,adv_target_class_confidence,clean_correct_nn2,adv_correct_nn2,target_success_nn2,untargeted_success_nn2
bim,0.025,True,least-likely,361,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.015459,7185,7185,6815,1.3710495e-07,1,0,0,1
bim,0.025,True,least-likely,4660,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.014419,7185,7185,7201,3.4517058e-08,1,0,0,1
bim,0.025,True,least-likely,4876,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.014482,7185,7185,7475,2.4386186e-06,1,0,0,1
bim,0.025,True,least-likely,4952,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.015737,7185,7185,7571,2.437548e-06,1,0,0,1
bim,0.025,True,least-likely,4669,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.013747,7185,7185,799,1.5202846e-07,1,0,0,1
bim,0.025,True,least-likely,8495,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.015265,7185,7185,4242,5.0656e-08,1,0,0,1
bim,0.025,True,least-likely,6288,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.017006,7185,7185,7185,3.2885936e-08,1,1,0,0
bim,0.025,True,least-likely,5216,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.014251,7185,7185,800,0.000114223265,1,0,0,1
bim,0.025,True,least-likely,6536,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.013988,7185,7185,6675,1.1289146e-06,1,0,0,1
bim,0.025,True,least-likely,7422,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/bim/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.015785,7185,7185,3261,0.0003073921,1,0,0,1
