attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,adv_target_class_confidence,clean_correct_nn2,adv_correct_nn2,target_success_nn2,untargeted_success_nn2
fgsm,0.025,True,rr_lookalikes,44,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_44.tiff,0.025,0.024061,5658,5658,6008,0.0662688,1,0,0,1
fgsm,0.025,True,rr_lookalikes,1092,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_1092.tiff,0.025,0.024062,5658,5658,2056,0.00412682,1,0,0,1
fgsm,0.025,True,rr_lookalikes,6357,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_6357.tiff,0.025,0.024061,5658,5658,2056,0.00020124373,1,0,0,1
fgsm,0.025,True,rr_lookalikes,3540,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_3540.tiff,0.025,0.024062,5658,5658,3540,0.30442706,1,0,1,0
fgsm,0.025,True,rr_lookalikes,2856,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_2856.tiff,0.025,0.024064,5658,5658,2056,7.9543024e-05,1,0,0,1
fgsm,0.025,True,rr_lookalikes,8010,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_8010.tiff,0.025,0.024057,5658,5658,2056,6.1685405e-06,1,0,0,1
fgsm,0.025,True,rr_lookalikes,4700,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_4700.tiff,0.025,0.024059,5658,5658,2056,1.0846309e-05,1,0,0,1
fgsm,0.025,True,rr_lookalikes,391,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_391.tiff,0.025,0.024059,5658,5658,2056,0.00078257354,1,0,0,1
fgsm,0.025,True,rr_lookalikes,2451,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0000_to_2451.tiff,0.025,0.024063,5658,5658,2056,0.00015067103,1,0,0,1
fgsm,0.025,True,rr_lookalikes,44,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_44.tiff,0.025,0.024063,5658,5658,5655,8.480763e-06,1,0,0,1
fgsm,0.025,True,rr_lookalikes,1092,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_1092.tiff,0.025,0.024064,5658,5658,230,0.0038162956,1,0,0,1
fgsm,0.025,True,rr_lookalikes,6357,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_6357.tiff,0.025,0.024065,5658,5658,5133,0.0004136349,1,0,0,1
fgsm,0.025,True,rr_lookalikes,3540,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_3540.tiff,0.025,0.024058,5658,5658,3540,0.2149011,1,0,1,0
fgsm,0.025,True,rr_lookalikes,2856,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_2856.tiff,0.025,0.024066,5658,5658,5133,7.095454e-05,1,0,0,1
fgsm,0.025,True,rr_lookalikes,8010,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_8010.tiff,0.025,0.024068,5658,5658,4823,0.009663415,1,0,0,1
fgsm,0.025,True,rr_lookalikes,4700,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_4700.tiff,0.025,0.024065,5658,5658,4823,0.0029848227,1,0,0,1
fgsm,0.025,True,rr_lookalikes,391,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_391.tiff,0.025,0.024062,5658,5658,704,5.7806064e-05,1,0,0,1
fgsm,0.025,True,rr_lookalikes,2451,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_lookalikes/eps_0_025/002_n006115_Mike_Posner/0001_to_2451.tiff,0.025,0.024064,5658,5658,6448,7.350815e-06,1,0,0,1
